Organism,Morphology,Gram Nature,Optimal Media,Optimal Media Composition (per 100ml),Differential Media,Differential Media Composition,Biochemical Test,Origin/Source,Optimal Growth Temperature (°C),Optimal Growth pH,Optimal Growth Aerobic Conditions
Clostridium difficile,"Rod-shaped, straight, 0.5 to 1.6 micrometers in diameter, terminal spores",Gram positive,Brain Heart Infusion supplemented with Sodium Taurocholate,"Brain heart infusion powder 1.8 g, Peptone 0.5 g, Sodium chloride 0.5 g, Sodium taurocholate 0.1 g, Agar 1.5 g",Cycloserine-Cefoxitin Fructose Agar,"Peptone 2.0 g, Fructose 1.0 g, Sodium chloride 0.5 g, Agar 1.5 g, Cycloserine 0.005 g, Cefoxitin 0.0008 g, Neutral red indicator","Gram positive rod with terminal spores, Catalase negative, Motility negative, Characteristic ground-glass colony morphology on CCFA","Normal colonic flora, causes pseudomembranous colitis associated with antibiotic use","35,36,37,38,40","6.8,7,7.2",Strict anaerobe
Clostridium perfringens,"Rod-shaped, straight, relatively short, 0.6 to 2.4 micrometers in length",Gram positive,Reinforced Clostridial Medium,"Tryptone 1.0 g, Beef extract 0.3 g, Yeast extract 0.5 g, Sodium chloride 0.05 g, Sodium acetate 0.3 g, Agar 1.5 g",Sulfite Polymyxin Sulfadiazine Agar,"Tryptone 1.5 g, Beef extract 0.75 g, Yeast extract 0.75 g, Sodium chloride 0.3 g, Sodium bisulfite 0.1 g, Polymyxin 0.00001 g, Sulfadiazine 0.025 g, Agar 1.5 g","Gram positive rod, Catalase negative, Motility negative, Lipase positive on egg yolk agar, Lecithinase positive, Produces characteristic double zone","Normal gastrointestinal flora of animals and humans, food contamination, causes gas gangrene, food poisoning","37,43,45,47","6.8,7,7.2",Anaerobic
Bacillus anthracis,"Rod-shaped, straight, large, 1 to 1.3 micrometers in diameter, 4 to 10 micrometers in length, central spores",Gram positive,Blood Agar,"Peptone 1.0 g, Meat extract 0.3 g, Sodium chloride 0.5 g, Agar 1.5 g, Defibrinated sheep blood 5.0 ml",Polymyxin Acridine Lysozyme Tetracycline Agar,"Nutrient agar 1.5 g, Polymyxin 0.00001 g, Acridine 0.0001 g, Lysozyme 0.0001 g, Tetracycline 0.0001 g","Gram positive rod with spores, Catalase positive, Motility negative, Penicillin sensitive, Produces characteristic medusa head colonies on medium","Environmental saprophyte, causative agent of anthrax in animals and humans",37,"7,7.2,7.5","Facultative anaerobe, aerobic preferred"
Mycobacterium tuberculosis,"Rod-shaped, slender, 0.2 to 0.5 micrometers in diameter, 1 to 10 micrometers in length, acid-fast positive",Gram positive but acid-fast positive,Lowenstein Jensen Medium,"Mineral salts 1.0 g, Glycerol 0.5 g, Egg albumin 5 ml, Asparagine 0.04 g, Agar 1.5 g",Middlebrook 7H10 Agar,"Base salts 0.6 g, L-asparagine 0.4 g, Ferric ammonium citrate 0.04 g, Zinc sulfate 0.001 g, Copper sulfate 0.001 g, Malachite green 0.0002 g, Agar 1.5 g","Acid-fast positive on Ziehl-Neelsen stain, Niacin positive, Nitrate reduction positive, Catalase positive with heat inactivation","Respiratory tract, causative agent of tuberculosis",37,"6.8,7","Aerobe, requires 5 to 10 percent carbon dioxide"
Legionella pneumophila,"Rod-shaped, slender, pleomorphic, 0.3 to 0.9 micrometers in diameter, 2 to 20 micrometers in length",Gram negative but stains poorly,Buffered Charcoal Yeast Extract Agar,"Yeast extract 1.0 g, L-cysteine hydrochloride 0.04 g, Iron pyrophosphate 0.025 g, Alpha-ketoglutarate 0.1 g, ACES buffer 1.0 g, Charcoal 0.2 g, Agar 1.5 g",Legionella BMPA Agar,"Yeast extract 1.0 g, L-cysteine hydrochloride 0.04 g, Iron pyrophosphate 0.025 g, Alpha-ketoglutarate 0.1 g, Charcoal 0.2 g, Agar 1.5 g","Oxidase positive, Catalase positive, Gram negative rod, Non-motile, Oxidative metabolism of amino acids","Water systems, environmental organism, causes Legionnaires disease","35,36,37","6.9,7",Aerobe
Helicobacter pylori,"Rod-shaped or spiral, 0.5 to 1 micrometer in diameter, 2.5 to 4 micrometers in length, motile with lophotrichous flagella",Gram negative,Helicobacter pylori Selective Peptone Agar,"Peptone 2.3 g, Corn starch 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Helicobacter pylori Selective Agar with Triphenyltetrazolium,"Peptone 2.3 g, Corn starch 0.5 g, Sodium chloride 0.5 g, Triphenyltetrazolium chloride 0.004 g, Agar 1.5 g","Oxidase positive, Catalase positive, Urease positive, Spiral gram negative rod, Hippurate hydrolysis positive","Gastric mucosa, causes chronic gastritis, peptic ulcer disease, gastric carcinoma",37,"5,5.5,6","Microaerophile, 3 to 10 percent oxygen required"
Listeria monocytogenes,"Rod-shaped, small, coccobacillary, 0.4 to 0.5 micrometers in diameter, 0.5 to 2 micrometers in length",Gram positive,Blood Agar,"Peptone 1.0 g, Meat extract 0.3 g, Sodium chloride 0.5 g, Agar 1.5 g, Defibrinated sheep blood 5.0 ml",Blood Agar at 4 degrees Celsius,"Peptone 1.0 g, Meat extract 0.3 g, Sodium chloride 0.5 g, Agar 1.5 g, Defibrinated sheep blood 5.0 ml","Gram positive coccobacillus, Catalase positive, Motility positive at room temperature but negative at 37 degrees, Beta-hemolysis on blood agar, Methyl red positive","Food, environment, normal vaginal flora, causes meningitis, bacteremia, particularly in immunocompromised hosts",37,"6.5,7,7.5",Facultative anaerobe
Bordetella pertussis,"Rod-shaped, coccobacillary, pleomorphic, 0.5 to 1 micrometer in diameter",Gram negative,Bordet Gengou Medium or Stainer Clarke Medium,"Potato infusion 5 ml, Glycerol 0.5 g, Sodium chloride 0.5 g, Blood 5 ml, Agar 1.5 g",Bordet Gengou Agar with Penicillin,"Potato infusion 5 ml, Glycerol 0.5 g, Sodium chloride 0.5 g, Blood 5 ml, Penicillin 0.00001 g, Agar 1.5 g","Gram negative coccobacillus, Oxidase positive, Catalase positive, Non-motile, Produces pearl-like colonies on medium","Respiratory tract, causative agent of pertussis or whooping cough","35,36,37","7,7.2,7.5","Aerobe, requires 5 percent carbon dioxide"
Campylobacter jejuni,"Rod-shaped, curved or spiral, S-shaped or spiral, 0.2 to 0.5 micrometers in diameter",Gram negative,Campy Food Agar Base,"Peptone 1.0 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Charcoal 0.5 g, Ferrous sulfate 0.05 g, Sodium pyruvate 0.25 g, Agar 1.5 g",Campy Food Agar,"Campylobacter agar base 1.5 g, Blood 5 ml, Polymyxin 0.00001 g, Agar 1.5 g","Gram negative spiral rod, Oxidase positive, Catalase variable, Motile with single polar flagella, Hipurate hydrolysis positive","Gastrointestinal tract of animals and birds, food contamination, causes gastroenteritis","42,43,45","6.5,7,7.5","Microaerophile, 5 percent oxygen, 10 percent carbon dioxide"
Corynebacterium diphtheriae,"Rod-shaped, claviform or pleomorphic, arranged in Chinese letter or palisade arrangement",Gram positive,Loeffler Serum Medium,"Beef broth 1.0 g, Dextrose 0.3 g, Sodium chloride 0.3 g, Serum 3.0 ml, Agar 0.3 g",Tinsdale Medium,"Brain heart infusion agar 1.0 g, Potassium tellurite 0.002 g, Egg yolk 1.0 ml, Agar 1.5 g","Gram positive rod, Catalase positive, Motility negative, Produces gray to black colonies on tellurite medium, Niacin positive, Nitrate reduction positive","Respiratory tract, skin, causative agent of diphtheria","35,36,37","7,7.2,7.5","Facultative anaerobe, aerobic preferred"
Moraxella catarrhalis,"Cocci, kidney-shaped or reniform, gram negative diplococcus, 0.6 to 1 micrometer in diameter",Gram negative,Blood Agar supplemented with 5 percent sheep blood,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",Chocolate Agar,"Peptone 1.5 g, Sodium chloride 0.5 g, Cornstarch 0.1 g, Dipotassium phosphate 0.4 g, Monopotassium phosphate 0.1 g, Hemin solution 0.01 g, Nicotinamide adenine dinucleotide (NAD) 0.0005 g, Agar 1.0 g","Gram negative diplococcus, Oxidase positive, Catalase positive, Non-motile, Maltose fermentation negative, Glucose fermentation positive","Nasopharyngeal flora, causes respiratory tract infections, otitis media","35,36,37","7,7.2,7.5",Facultative anaerobe
Vibrio cholerae,"Rod-shaped, curved or bent, monotrichous with single polar flagellum, 0.5 to 0.8 micrometers in diameter",Gram negative,Thiosulfate Citrate Bile Salts Sucrose Agar,"Peptone 1.0 g, Yeast extract 0.5 g, Sodium thiosulfate 0.1 g, Sodium citrate 0.1 g, Bile salts 0.3 g, Sucrose 1.0 g, Agar 1.5 g",Cholera Medium Base,"Peptone 1.0 g, HM peptone 1.0 g, Sucrose 1.0 g, Sodium chloride 2.0 g, Sodium carbonate 0.5 g, Agar 1.0 g","Gram negative curved rod, Oxidase positive, Catalase positive, Motile with single flagellum, Glucose and sucrose fermentation positive, Arginine dihydrolase positive","Water systems, seafood, causative agent of cholera",37,"8,8.5","Facultative anaerobe, aerobic preferred"
Brucella spp.,"Rod-shaped or coccobacillary, small, 0.5 to 0.8 micrometers in diameter",Gram negative,Brucella Agar with Supplement,"Brucella agar base 1.5 g, Dextrose 0.1 g, Serum supplement 0.5 ml, Agar 1.5 g",Brucella Agar,"Brucella agar base 1.5 g, Dextrose 0.1 g, Agar 1.5 g","Gram negative coccobacillus, Oxidase positive, Catalase positive, Non-motile, Urease positive in 4 hours, Non-fermentative","Livestock and other animals, zoonotic pathogen, causes brucellosis",37,"6.8,7,7.2",Facultative anaerobe
Mycoplasma pneumoniae,"Pleomorphic, variable, coccoid to filamentous forms, 0.1 to 0.3 micrometers in diameter, no cell wall",Gram negative staining not reliable,PPLO Agar supplemented with horse serum and yeast extract,"PPLO broth 1.0 g, Yeast extract 0.5 g, Horse serum 1.0 ml, Agar 1.5 g",PPLO Agar with Methylene Blue,"PPLO broth 1.0 g, Yeast extract 0.5 g, Horse serum 1.0 ml, Methylene blue 0.0001 g, Agar 1.5 g","No cell wall so gram staining not reliable, Forms characteristic fried egg colonies, Reduces methylene blue, Non-motile","Respiratory tract, causative agent of atypical pneumonia",37,"7,7.2,7.5",Facultative anaerobe
Chlamydia trachomatis,"Coccoid or oval elementary bodies, 0.3 to 0.5 micrometers in diameter, obligate intracellular parasite",Gram negative but difficult to see,Requires cell culture,"Amino acids mixture 0.5 g, Inorganic salts 0.2 g, Glucose 0.5 g, Phenol red 0.005 g, Sodium bicarbonate 0.2 g, Fetal bovine serum 5.0-10.0 ml, Vitamins mixture 0.02 g, Trace elements 0.01 g",Cell culture with monoclonal antibodies,"Amino acids mixture 0.5 g, Inorganic salts 0.2 g, Glucose 0.5 g, Phenol red 0.005 g, Sodium bicarbonate 0.2 g, Fetal bovine serum 5.0-10.0 ml, Vitamins mixture 0.02 g, Trace elements 0.01 g","Obligate intracellular pathogen, Gram negative, Iodine-positive inclusion bodies, Detected by immunofluorescence","Urogenital tract, conjunctiva, respiratory tract, causative agent of chlamydial infections",37,"7.2,7.4",Facultative intracellular
Fusobacterium necrophorum,"Rod-shaped, pleomorphic, 0.5 to 1 micrometer in diameter, anaerobic",Gram negative,Brain Heart Infusion Agar supplemented with blood,"Brain heart infusion 1.0 g, Sheep blood 5 ml, Agar 1.5 g",Blood Agar Anaerobic,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Non-motile, Catalase negative, Indole positive, Produces characteristic foul odor","Normal oral flora, gastrointestinal tract, causes suppurative infections",37,"7,7.2,7.5",Strict anaerobe
Actinomyces israelii,"Rod-shaped, branching filaments, 0.2 to 0.5 micrometers in diameter",Gram positive,Brain Heart Infusion Agar,"Brain heart infusion 1.0 g, Agar 1.5 g",Blood Agar Anaerobic,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive branching filaments, Catalase negative, Non-motile, Anaerobic to microaerophilic, Forms characteristic rosette-like colony","Normal oral flora, gastrointestinal tract, causes actinomycosis",37,"6.5,7,7.5",Microaerophile to anaerobe
Acinetobacter baumannii,"Rod-shaped, coccobacillary, short, 0.5 to 0.8 micrometers in diameter",Gram negative,Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",MacConkey Agar,"Peptone 1.7 g, Lactose 1.0 g, Sodium chloride 0.5 g, Phenol red 0.03 g, Bile salts 0.15 g, Agar 1.5 g","Gram negative coccobacillus, Oxidase negative, Catalase positive, Non-motile, Non-fermenting, Glucose oxidation positive","Environmental bacterium, skin flora, causes nosocomial infections, wound infections",37,"6.5,7,7.5,8",Aerobe
Gardnerella vaginalis,"Rod-shaped, pleomorphic, coccobacillary, 0.5 micrometers in diameter",Gram variable,Human Blood Agar,"Columbia agar base 1.5 g, Human blood 5 ml, Agar 1.5 g",Blood Agar with methyl violate,"Columbia agar base 1.5 g, Human blood 5 ml, Methyl violate 0.002 g, Agar 1.5 g","Gram variable coccobacillus, Catalase negative, Oxidase negative, Non-motile, Lipase negative, Non-hemolytic","Vaginal flora, causes bacterial vaginosis","35,36,37","6.5,7,7.5",Facultative anaerobe
Bacteroides fragilis,"Rod-shaped, pleomorphic, 0.8 to 1.1 micrometers in diameter, anaerobic",Gram negative,Brain Heart Infusion Agar supplemented with hemin and menadione,"Brain heart infusion 1.0 g, Hemin 0.0005 g, Menadione 0.00005 g, Agar 1.5 g",Bacteroides Fragilis Selective Medium,"Peptone 1.0 g, Yeast extract 0.5 g, Glucose 0.1 g, Agar 1.5 g","Gram negative rod, Non-motile, Catalase positive, Non-sporing, Bile esculin positive","Normal gastrointestinal flora, causes suppurative infections, sepsis",37,"6.8,7,7.2",Strict anaerobe
Prevotella spp.,"Rod-shaped, pleomorphic, short, 0.5 to 0.8 micrometers in diameter",Gram negative,Brain Heart Infusion Agar supplemented with hemin and menadione,"Brain heart infusion 1.0 g, Hemin 0.0005 g, Menadione 0.00005 g, Agar 1.5 g",Blood Agar Anaerobic,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Non-motile, Catalase variable, Non-sporing, Produces dark pigmented colonies","Normal oral flora, gastrointestinal tract, causes mixed aerobic anaerobic infections",37,"6.8,7,7.2",Strict anaerobe
Corynebacterium jeikeium,"Rod-shaped, slender, claviform, 0.3 to 0.5 micrometers in diameter",Gram positive,Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",Tinsdale Medium,"Brain heart infusion agar 1.0 g, Potassium tellurite 0.002 g, Egg yolk 1.0 ml, Agar 1.5 g","Gram positive rod, Catalase positive, Non-motile, Produces gray to black colonies on tellurite medium, Niacin negative","Skin flora, causes opportunistic infections in immunocompromised hosts","35,36,37","7,7.2,7.5",Facultative anaerobe
Clostridium tetani,"Rod-shaped, straight, with terminal spore giving drumstick appearance, 0.5 to 1.4 micrometers in diameter",Gram positive,Reinforced Clostridial Medium,"Tryptone 1.0 g, Beef extract 0.3 g, Yeast extract 0.5 g, Sodium chloride 0.05 g, Sodium acetate 0.3 g, Agar 1.5 g",Blood Agar Anaerobic,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod with terminal spore, Catalase negative, Motile with peritrichous flagella, Non-hemolytic","Environmental organism, soil, contaminated wounds, causative agent of tetanus",37,"7,7.2,7.5",Strict anaerobe
Streptococcus agalactiae,"Cocci, spherical or ovoid, 0.6 to 1 micrometer in diameter, arranged in chains",Gram positive,Blood Agar supplemented with 5 percent sheep blood,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",Blood Agar with latex agglutination,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive cocci in chains, Catalase negative, Beta hemolysis on blood agar, Hippurate hydrolysis positive, Voges Proskauer positive","Vaginal and gastrointestinal flora, causes meningitis and sepsis in neonates",37,"7,7.2,7.5",Facultative anaerobe
Mycobacterium leprae,"Rod-shaped, slender, 0.3 to 0.5 micrometers in diameter, 1 to 8 micrometers in length, acid-fast positive",Gram positive but acid-fast positive,Requires growth in animal models primarily,Armadillo tissue or mouse footpad required,Armadillo tissue,Armadillo tissue at 32 to 34 degrees Celsius,"Acid-fast positive on Ziehl-Neelsen stain, Non-cultivable in vitro easily, Niacin negative, Catalase negative","Skin and peripheral nerves, causative agent of leprosy","32,33,34",Not applicable,Requires animal tissue
Leptospira interrogans,"Spiral, thin, tightly coiled, 0.1 to 0.15 micrometers in diameter, 6 to 20 micrometers in length, motile",Gram negative but difficult to visualize,Fletcher Medium or EMJH Medium,"Peptone 1.0 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Sodium pyruvate 0.1 g, Rabbit serum 10.0 ml, Bovine serum albumin 0.3 g, Glucose 0.2 g, Trace elements 0.05 g, Agar 1.5 g",Semi-solid medium with markers,Fletcher medium 1.0 ml,"Gram negative spirochete, Observed by dark field or phase contrast microscopy, Non-motile in culture, Oxidase positive","Natural water reservoirs, causative agent of leptospirosis","28,30,32","7,7.2,7.4",Aerobe
